Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
3,3,1350,16
3,1,450,3
3,3,1350,10
3,2,900,37
3,1,450,3
3,1,450,3
3,1,450,3
3,2,900,45
3,7,3150,43
3,1,450,3
3,1,450,3
3,5,2250,45
3,1,450,3
3,2,900,37
3,1,450,3
3,8,3600,50
3,1,450,3
3,1,450,3
3,1,450,3
3,1,450,3
3,3,1350,35
3,1,450,3
3,2,900,3
3,1,450,3
3,3,1350,45
3,3,1350,11
3,2,900,11
3,1,450,3
3,1,450,3
3,1,450,3
3,4,1800,43
3,1,450,3
3,2,900,22
3,1,450,3
3,2,900,16
3,1,450,3
3,1,450,3
3,1,450,3
3,2,900,3
3,2,900,3
4,2,900,4
4,5,2250,28
4,4,1800,15
4,2,900,15
4,1,450,4
4,1,450,4
4,3,1350,43
4,4,1800,39
4,1,450,4
4,2,900,4
4,6,2700,50
4,1,450,4
4,3,1350,28
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,2,900,15
4,1,450,4
4,2,900,4
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,1,450,4
4,4,1800,43
4,1,450,4
4,3,1350,45
4,1,450,4
4,2,900,15
4,1,450,4
4,2,900,15
4,1,450,4
4,4,1800,32
4,5,2250,39
4,1,450,4
4,1,450,4
4,6,2700,43
4,1,450,4
4,2,900,8
4,1,450,4
4,2,900,4
4,4,1800,39
4,2,900,32
4,1,450,4
4,3,1350,15
4,1,450,4
4,2,900,16
4,3,1350,37
4,12,5400,50
4,3,1350,35
4,1,450,4
4,7,3150,39
4,1,450,4
4,5,2250,37
4,1,450,4
4,2,900,11
4,1,450,4
4,6,2700,35
4,5,2250,32
4,1,450,4
4,3,1350,11
4,2,900,4
4,1,450,4
4,3,1350,10
4,3,1350,37
4,1,450,4
4,2,900,10
4,5,2250,16
4,1,450,4
4,3,1350,16
4,5,2250,50
4,3,1350,16
4,2,900,4
4,1,450,4
4,3,1350,16
4,1,450,4
4,1,450,4
4,1,450,4
4,2,900,28
4,1,450,4
4,1,450,4
4,1,450,4
4,9,4050,43
4,2,900,11
4,3,1350,16
4,4,1800,42
4,1,450,4
8,1,450,8
8,1,450,8
8,7,3150,37
8,1,450,8
8,1,450,8
8,1,450,8
8,1,450,8
8,3,1350,15
8,2,900,22
8,1,450,8
8,5,2250,45
8,1,450,8
8,2,900,11
8,1,450,8
8,1,450,8
8,10,4500,50
8,4,1800,50
8,4,1800,37
8,1,450,8
8,4,1800,39
8,2,900,8
8,1,450,8
8,1,450,8
8,3,1350,22
9,3,1350,16
9,2,900,37
9,2,900,32
9,3,1350,22
9,1,450,9
9,1,450,9
9,1,450,9
9,1,450,9
9,1,450,9
9,3,1350,28
9,1,450,9
9,1,450,9
9,5,2250,50
9,1,450,9
10,1,450,10
10,3,1350,39
10,3,1350,28
10,1,450,10
10,1,450,10
10,1,450,10
10,1,450,10
10,1,450,10
10,1,450,10
10,2,900,16
10,2,900,19
10,1,450,10
10,2,900,16
10,1,450,10
10,2,900,50
10,3,1350,35
10,1,450,10
10,2,900,15
10,4,1800,50
10,2,900,15
10,1,450,10
10,1,450,10
10,1,450,10
10,2,900,10
10,2,900,10
10,1,450,10
10,2,900,20
10,2,900,39
10,2,900,22
10,1,450,10
10,8,3600,50
10,2,900,10
10,2,900,10
10,1,450,10
10,1,450,10
10,1,450,10
10,1,450,10
10,2,900,50
10,1,450,10
10,2,900,15
10,2,900,10
10,1,450,10
10,3,1350,42
10,1,450,10
11,2,900,37
11,1,450,11
11,1,450,11
11,3,1350,45
11,1,450,11
11,3,1350,35
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,4,1800,28
11,4,1800,35
11,2,900,15
11,1,450,11
11,3,1350,15
11,1,450,11
11,3,1350,39
11,5,2250,50
11,3,1350,32
11,2,900,15
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,8,3600,50
11,1,450,11
11,2,900,11
11,1,450,11
11,3,1350,49
11,1,450,11
11,3,1350,32
11,2,900,22
11,4,1800,35
11,2,900,15
11,3,1350,35
11,1,450,11
11,1,450,11
11,2,900,37
11,1,450,11
11,1,450,11
11,2,900,28
11,1,450,11
11,5,2250,35
11,4,1800,43
11,3,1350,35
11,4,1800,50
11,3,1350,49
11,4,1800,37
11,1,450,11
11,4,1800,42
11,2,900,16
11,1,450,11
11,1,450,11
11,1,450,11
11,1,450,11
11,3,1350,20
11,2,900,16
11,2,900,19
11,4,1800,50
11,4,1800,50
11,1,450,11
11,3,1350,37
11,2,900,43
11,1,450,11
11,2,900,16
11,1,450,11
11,1,450,11
11,1,450,11
11,4,1800,22
11,2,900,19
11,2,900,22
11,2,900,50
11,2,900,16
11,4,1800,25
11,2,900,25
11,3,1350,22
11,1,450,11
11,2,900,28
11,2,900,11
11,2,900,16
11,2,900,11
11,3,1350,28
11,1,450,11
11,4,1800,28
11,3,1350,50
11,2,900,16
11,1,450,11
15,1,450,15
15,1,450,15
15,3,1350,45
15,4,1800,42
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,4,1800,50
15,2,900,39
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,4,1800,28
15,1,450,15
15,1,450,15
15,2,900,15
15,1,450,15
15,1,450,15
15,3,1350,37
15,2,900,32
15,1,450,15
15,2,900,15
15,3,1350,45
15,1,450,15
15,1,450,15
15,2,900,35
15,1,450,15
15,3,1350,45
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,2,900,50
15,2,900,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,1,450,15
15,2,900,50
15,1,450,15
15,1,450,15
15,3,1350,37
15,3,1350,35
15,1,450,15
15,2,900,20
15,7,3150,44
15,1,450,15
15,1,450,15
15,1,450,15
15,4,1800,50
16,1,450,16
16,3,1350,50
16,1,450,16
16,2,900,22
16,1,450,16
16,3,1350,42
16,3,1350,32
16,1,450,16
16,1,450,16
16,1,450,16
16,3,1350,22
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,50
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,32
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,4,1800,35
16,2,900,50
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,20
16,1,450,16
16,1,450,16
16,2,900,22
16,1,450,16
16,1,450,16
16,1,450,16
16,3,1350,32
16,2,900,19
16,2,900,22
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,22
16,1,450,16
16,1,450,16
16,4,1800,39
16,1,450,16
16,2,900,42
16,1,450,16
16,3,1350,43
16,1,450,16
16,1,450,16
16,2,900,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,50
16,5,2250,43
16,2,900,19
16,1,450,16
16,3,1350,37
16,2,900,22
16,2,900,32
16,1,450,16
16,1,450,16
16,1,450,16
16,2,900,22
16,1,450,16
16,1,450,16
16,1,450,16
16,1,450,16
19,2,900,35
19,1,450,19
19,2,900,25
19,2,900,25
19,2,900,35
19,2,900,45
19,3,1350,32
19,3,1350,50
19,1,450,19
19,1,450,19
19,1,450,19
20,1,450,20
20,1,450,20
20,2,900,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,1,450,20
20,4,1800,39
20,1,450,20
20,1,450,20
20,1,450,20
20,2,900,25
20,1,450,20
22,1,450,22
22,7,3150,50
22,1,450,22
22,1,450,22
22,1,450,22
22,1,450,22
22,2,900,28
22,1,450,22
22,1,450,22
22,1,450,22
22,2,900,37
22,2,900,45
22,2,900,28
22,1,450,22
22,1,450,22
22,1,450,22
22,2,900,28
22,2,900,28
22,1,450,22
22,1,450,22
22,2,900,37
22,1,450,22
22,1,450,22
22,4,1800,50
22,1,450,22
22,1,450,22
22,1,450,22
22,2,900,28
22,1,450,22
22,1,450,22
22,2,900,50
22,2,900,42
22,1,450,22
22,1,450,22
22,2,900,50
22,1,450,22
22,2,900,39
22,3,1350,35
22,1,450,22
22,1,450,22
22,2,900,28
22,3,1350,35
22,2,900,35
22,2,900,39
22,2,900,35
25,1,450,25
25,1,450,25
25,1,450,25
25,1,450,25
25,4,1800,50
25,2,900,45
28,2,900,35
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,3,1350,39
28,1,450,28
28,2,900,35
28,3,1350,50
28,3,1350,35
28,2,900,35
28,1,450,28
28,1,450,28
28,2,900,35
28,1,450,28
28,2,900,49
28,1,450,28
28,2,900,35
28,2,900,28
28,4,1800,45
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,2,900,42
28,1,450,28
28,1,450,28
28,3,1350,50
28,2,900,35
28,1,450,28
28,3,1350,45
28,4,1800,50
28,2,900,50
28,1,450,28
28,1,450,28
28,1,450,28
28,1,450,28
28,2,900,35
28,1,450,28
28,2,900,39
28,1,450,28
28,2,900,50
28,1,450,28
30,1,450,30
30,1,450,30
30,1,450,30
30,1,450,30
30,1,450,30
30,1,450,30
32,2,900,35
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,2,900,37
32,1,450,32
32,2,900,45
32,2,900,37
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,2,900,50
32,3,1350,39
32,1,450,32
32,2,900,49
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,1,450,32
32,2,900,37
32,1,450,32
32,1,450,32
32,1,450,32
35,4,1800,50
35,3,1350,50
35,3,1350,50
35,1,450,35
35,1,450,35
35,4,1800,50
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,4,1800,50
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,1,450,35
35,2,900,39
35,1,450,35
35,1,450,35
35,1,450,35
35,2,900,42
35,1,450,35
35,1,450,35
35,1,450,35
