,Unnamed: 0,Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
0,548,3,3,1350,16
1,1157,3,1,450,3
2,563,3,3,1350,10
3,355,3,2,900,37
4,1440,3,1,450,3
5,1248,3,1,450,3
6,848,3,1,450,3
7,963,3,2,900,45
8,59,3,7,3150,43
9,976,3,1,450,3
10,1323,3,1,450,3
11,885,3,5,2250,45
12,437,3,1,450,3
13,499,3,2,900,37
14,1166,3,1,450,3
15,488,3,8,3600,50
16,1221,3,1,450,3
17,577,3,1,450,3
18,1298,3,1,450,3
19,953,3,1,450,3
20,1526,3,3,1350,35
21,514,3,1,450,3
22,747,3,2,900,3
23,1532,3,1,450,3
24,147,3,3,1350,45
25,311,3,3,1350,11
26,758,3,2,900,11
27,494,3,1,450,3
28,975,3,1,450,3
29,336,3,1,450,3
30,251,3,4,1800,43
31,1109,3,1,450,3
32,869,3,2,900,22
33,1229,3,1,450,3
34,1427,3,2,900,16
35,492,3,1,450,3
36,1223,3,1,450,3
37,598,3,1,450,3
38,405,3,2,900,3
39,784,3,2,900,3
40,872,4,2,900,4
41,702,4,5,2250,28
42,1293,4,4,1800,15
43,1367,4,2,900,15
44,274,4,1,450,4
45,772,4,1,450,4
46,306,4,3,1350,43
47,1257,4,4,1800,39
48,195,4,1,450,4
49,196,4,2,900,4
50,799,4,6,2700,50
51,11,4,1,450,4
52,373,4,3,1350,28
53,382,4,1,450,4
54,1410,4,1,450,4
55,1010,4,1,450,4
56,41,4,1,450,4
57,965,4,2,900,15
58,553,4,1,450,4
59,650,4,2,900,4
60,658,4,1,450,4
61,1473,4,1,450,4
62,608,4,1,450,4
63,1510,4,1,450,4
64,1096,4,1,450,4
65,1439,4,1,450,4
66,693,4,1,450,4
67,535,4,1,450,4
68,110,4,4,1800,43
69,1534,4,1,450,4
70,1234,4,3,1350,45
71,1197,4,1,450,4
72,330,4,2,900,15
73,1150,4,1,450,4
74,969,4,2,900,15
75,1396,4,1,450,4
76,473,4,4,1800,32
77,844,4,5,2250,39
78,770,4,1,450,4
79,1271,4,1,450,4
80,938,4,6,2700,43
81,1496,4,1,450,4
82,1357,4,2,900,8
83,384,4,1,450,4
84,65,4,2,900,4
85,593,4,4,1800,39
86,1220,4,2,900,32
87,606,4,1,450,4
88,1310,4,3,1350,15
89,125,4,1,450,4
90,1259,4,2,900,16
91,6,4,3,1350,37
92,925,4,12,5400,50
93,3,4,3,1350,35
94,1251,4,1,450,4
95,170,4,7,3150,39
96,698,4,1,450,4
97,1088,4,5,2250,37
98,1067,4,1,450,4
99,1101,4,2,900,11
100,893,4,1,450,4
101,521,4,6,2700,35
102,447,4,5,2250,32
103,1081,4,1,450,4
104,280,4,3,1350,11
105,1480,4,2,900,4
106,1156,4,1,450,4
107,689,4,3,1350,10
108,1425,4,3,1350,37
109,151,4,1,450,4
110,63,4,2,900,10
111,984,4,5,2250,16
112,1324,4,1,450,4
113,185,4,3,1350,16
114,1275,4,5,2250,50
115,261,4,3,1350,16
116,1511,4,2,900,4
117,300,4,1,450,4
118,1036,4,3,1350,16
119,105,4,1,450,4
120,1104,4,1,450,4
121,1300,4,1,450,4
122,1205,4,2,900,28
123,1364,4,1,450,4
124,221,4,1,450,4
125,724,4,1,450,4
126,1003,4,9,4050,43
127,1505,4,2,900,11
128,1180,4,3,1350,16
129,1382,4,4,1800,42
130,1163,4,1,450,4
131,504,8,1,450,8
132,1014,8,1,450,8
133,90,8,7,3150,37
134,1420,8,1,450,8
135,350,8,1,450,8
136,993,8,1,450,8
137,1249,8,1,450,8
138,179,8,3,1350,15
139,1174,8,2,900,22
140,1225,8,1,450,8
141,863,8,5,2250,45
142,856,8,1,450,8
143,1241,8,2,900,11
144,1260,8,1,450,8
145,634,8,1,450,8
146,741,8,10,4500,50
147,48,8,4,1800,50
148,809,8,4,1800,37
149,725,8,1,450,8
150,602,8,4,1800,39
151,708,8,2,900,8
152,500,8,1,450,8
153,914,8,1,450,8
154,827,8,3,1350,22
155,1146,9,3,1350,16
156,303,9,2,900,37
157,534,9,2,900,32
158,1402,9,3,1350,22
159,1110,9,1,450,9
160,1119,9,1,450,9
161,1388,9,1,450,9
162,388,9,1,450,9
163,1535,9,1,450,9
164,116,9,3,1350,28
165,1294,9,1,450,9
166,755,9,1,450,9
167,656,9,5,2250,50
168,1148,9,1,450,9
169,1103,10,1,450,10
170,1244,10,3,1350,39
171,139,10,3,1350,28
172,1432,10,1,450,10
173,788,10,1,450,10
174,346,10,1,450,10
175,1208,10,1,450,10
176,635,10,1,450,10
177,1368,10,1,450,10
178,988,10,2,900,16
179,895,10,2,900,19
180,961,10,1,450,10
181,508,10,2,900,16
182,657,10,1,450,10
183,162,10,2,900,50
184,1122,10,3,1350,35
185,858,10,1,450,10
186,1413,10,2,900,15
187,588,10,4,1800,50
188,1239,10,2,900,15
189,204,10,1,450,10
190,203,10,1,450,10
191,823,10,1,450,10
192,886,10,2,900,10
193,128,10,2,900,10
194,386,10,1,450,10
195,1203,10,2,900,20
196,649,10,2,900,39
197,142,10,2,900,22
198,551,10,1,450,10
199,293,10,8,3600,50
200,1316,10,2,900,10
201,131,10,2,900,10
202,1328,10,1,450,10
203,1022,10,1,450,10
204,212,10,1,450,10
205,989,10,1,450,10
206,34,10,2,900,50
207,529,10,1,450,10
208,1184,10,2,900,15
209,351,10,2,900,10
210,789,10,1,450,10
211,898,10,3,1350,42
212,506,10,1,450,10
213,1159,11,2,900,37
214,189,11,1,450,11
215,717,11,1,450,11
216,525,11,3,1350,45
217,80,11,1,450,11
218,1053,11,3,1350,35
219,1444,11,1,450,11
220,1485,11,1,450,11
221,1045,11,1,450,11
222,1428,11,1,450,11
223,565,11,1,450,11
224,528,11,1,450,11
225,76,11,1,450,11
226,1508,11,1,450,11
227,419,11,4,1800,28
228,716,11,4,1800,35
